product_id,code,name_short_en,product_level,top_parent_id,product_id_hierarchy
870,3344,"Fuel oils, nes",4,4,4.122.870
871,3345,"Lubricating petroleum oils, and preparations, nes",4,4,4.122.871
872,3351,Petroleum jelly and mineral waxes,4,4,4.122.872
873,3352,Mineral tars and products,4,4,4.122.873
874,3353,"Mineral tar pitch, pitch coke",4,4,4.122.874
875,3354,"Petroleum bitumen, petroleum coke and bituminous mixtures, nes",4,4,4.122.875
876,3413,"Petroleum gases and other gaseous hydrocarbons, nes, liquefied",4,4,4.123.876
877,3414,"Petroleum gases, nes, in gaseous state",4,4,4.123.877
878,3415,"Coal gas, water gas and similar gases",4,4,4.123.878
879,3510,Electric current,4,4,4.124.879
880,4111,Fat and oils of fish and marine mammals,4,5,5.125.880
881,4113,"Animals oils, fats and greases, nes",4,5,5.125.881
882,4232,Soya bean oil,4,5,5.126.882
883,4233,Cotton seed oil,4,5,5.126.883
884,4234,Groundnut (peanut) oil,4,5,5.126.884
885,4235,Olive oil,4,5,5.126.885
886,4236,Sunflower seed oil,4,5,5.126.886
887,4239,"Other fixed vegetable oils, soft",4,5,5.126.887
888,4241,Linseed oil,4,5,5.126.888
889,4242,Palm oil,4,5,5.126.889
890,4243,Coconut (copra) oil,4,5,5.126.890
891,4244,Palm kernel oil,4,5,5.126.891
892,4245,Castor oil,4,5,5.126.892
893,4249,"Fixed vegetable oils, nes",4,5,5.126.893
894,4311,Processed animal and vegetable oils,4,5,5.127.894
895,4312,Hydrogenated animal or vegetable oils and fats,4,5,5.127.895
896,4313,"Fatty acids, acid oils, and residues; degras",4,5,5.127.896
897,4314,Waxes of animal or vegetable origin,4,5,5.127.897
898,5111,Acyclic hydrocarbons,4,6,6.128.898
899,5112,Cyclic hydrocarbons,4,6,6.128.899
900,5113,Halogenated derivatives of hydrocarbons,4,6,6.128.900
901,5114,"Hydrocarbons derivatives, nonhaloganeted",4,6,6.128.901
902,5121,"Acyclic alcohols, and their derivatives",4,6,6.128.902
903,5122,"Cyclic alcohols, and their derivatives",4,6,6.128.903
904,5123,"Phenols and phenol-alcohols, and their derivatives",4,6,6.128.904
905,5137,Monocarboxylic acids and their derivatives,4,6,6.128.905
906,5138,Polycarboxylic acids and their derivatives,4,6,6.128.906
907,5139,"Oxygen-function acids, and their derivatives",4,6,6.128.907
908,5145,Amine-function compounds,4,6,6.128.908
909,5146,Oxygen-function amino-compounds,4,6,6.128.909
910,5147,Amide-function compounds; excluding urea,4,6,6.128.910
911,5148,Other nitrogen-function compounds,4,6,6.128.911
912,5154,Organo-sulphur compounds,4,6,6.128.912
913,5155,Other organo-inorganic compounds,4,6,6.128.913
914,5156,Heterocyclic compound; nucleic acids,4,6,6.128.914
915,5157,"Sulphonamides, sultones and sultams",4,6,6.128.915
916,5161,"Ethers, epoxides, acetals",4,6,6.128.916
917,5162,"Aldehyde, ketone and quinone-function compounds",4,6,6.128.917
918,5163,"Inorganic esters, their salts and derivatives",4,6,6.128.918
919,5169,"Organic chemicals, nes",4,6,6.128.919
920,5221,Chemical elements,4,6,6.129.920
921,5222,Inorganic acids and oxygen compounds of non-metals,4,6,6.129.921
922,5223,Halogen and sulphur compounds of non-metals,4,6,6.129.922
923,5224,"Metallic oxides of zinc, iron, lead, chromium etc",4,6,6.129.923
924,5225,"Inorganic bases and metallic oxides, hydroxides and peroxides",4,6,6.129.924
925,5231,Metallic salts and peroxysalts of inorganic acids,4,6,6.129.925
926,5232,Metallic salts and peroxysalts of inorganic acids,4,6,6.129.926
927,5233,Salts of metallic acids; compounds of precious metals,4,6,6.129.927
928,5239,"Inorganic chemical products, nes",4,6,6.129.928
929,5241,"Radio-active chemical elements, isotopes etc",4,6,6.129.929
930,5249,Other radio-active and associated materials,4,6,6.129.930
931,5311,"Synthetic organic dyestuffs, etc, natural indigo and colour lakes",4,6,6.130.931
932,5312,"Synthetic organic luminophores, indigo, lakes",4,6,6.130.932
933,5322,"Dyeing, tanning extracts, tannins and their derivatives",4,6,6.130.933
934,5323,Synthetic tanning substances; tanning preparations,4,6,6.130.934
935,5331,Other colouring matter; inorganic products use as luminophores,4,6,6.130.935
936,5332,Printing inks,4,6,6.130.936
937,5334,Varnishes and lacquers; distempers etc,4,6,6.130.937
938,5335,"Glazes, driers, putty etc",4,6,6.130.938
939,5411,Provitamins and vitamins,4,6,6.131.939
940,5413,"Antibiotics, not put up as medicaments",4,6,6.131.940
941,5414,"Vegetable alkaloids and derivatives, not put up as medicaments",4,6,6.131.941
942,5415,"Hormones, natural, or reproduce by synthesis, in bulk",4,6,6.131.942
943,5416,"Glycosides, glands, antisera, vaccines and similar products",4,6,6.131.943
944,5417,Medicaments (including veterinary medicaments),4,6,6.131.944
945,5419,"Pharmaceutical goods, other than medicaments",4,6,6.131.945
946,5513,"Essential oil, resinoid, etc",4,6,6.132.946
947,5514,"Mixtures of odoriferous substances, used in perfumery, food etc",4,6,6.132.947
948,5530,"Perfumery, cosmetics, toilet preparations, etc",4,6,6.132.948
949,5541,"Soaps, organic products and preparations for use as soap",4,6,6.132.949
950,5542,"Organic surface-active agents, nes",4,6,6.132.950
951,5543,"Polishes and creams, for furniture, floors, footwear, metals etc",4,6,6.132.951
952,5621,"Mineral or chemical fertilizers, nitrogenous",4,6,6.133.952
953,5622,"Mineral or chemical fertilizers, phosphatic",4,6,6.133.953
954,5623,"Mineral or chemical fertilizer, potassic",4,6,6.133.954
955,5629,"Fertilizers, nes",4,6,6.133.955
